Route,Location,URL,Avg Stars,Your Stars,Route Type,Difficulty,Maturity Rating,Maturity Reason,Notes,Pitches,Length,Area Latitude,Area Longitude
The Squamish Butt Face,Squamish Buttress > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106864599/the-squamish-butt-face,3.1,-1,Trad,5.9,G,Good protection and gear placements mentioned throughout comments,Specialized gear: a #5 Camalot may be useful for chimney pitch.,6,400,49.6846,-123.1447
North North Arete,The North Walls > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/109286566/north-north-arete,2.3,-1,Trad,5.9+,UNKNOWN,,,7,800,49.6876,-123.1352
The Ultimate Everything,Echelon Wall > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106480430/the-ultimate-everything,2.9,-1,Trad,5.10-,G,Climbing protects easily and well bolted,"Single rack to #2, double on small, especially #.75 and #.5",10,1300,49.6867,-123.135
Wiretap,Olesen Creek Wall > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106844672/wiretap,2.9,-1,Trad,5.10a,G,Comments mention good gear and protection throughout the route,,4,300,49.675,-123.1517
Smoke Bluff Connection,Wall Area > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106173601/smoke-bluff-connection,3.6,-1,Trad,5.10a,G,"Comments mention good climbing and protection, no mention of dangerous runouts or poor protection",,4,,49.7081,-123.141
The Smoke Bluffs Interconnector,Free and Easy > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/122873599/the-smoke-bluffs-interconnector,4.0,-1,Trad,5.9,UNKNOWN,,,12,660,49.70407,-123.14261
Jungle Warfare,Slhanay > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106104431/jungle-warfare,2.7,-1,Trad,5.10a,G,Plentiful protection and gear throughout the route,,4,,49.6945,-123.12156
Hairpin,"Main Area, Frontside > The Papoose > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105887144/hairpin,3.5,-1,Trad,5.10a,G,Well protected throughout the route,Consider bringing double C4s from 0.5 to #3 camalot and one set of nuts,5,300,49.66841,-123.16594
Mercurial Crossing,"Main Area, Frontside > The Papoose > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108272918/mercurial-crossing,3.0,-1,Trad,5.10a,UNKNOWN,,,4,300,49.66841,-123.16594
Skywalker EPB,Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/120903810/skywalker-epb,3.6,-1,Trad,5.10a,R,P2 is hard to protect,Bring 0.1 and 0.2 cams,3,300,49.66932,-123.15753
Chewbacca,Gobsmacking Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/108275813/chewbacca,3.3,-1,Trad,5.10-,PG13,"Bolt missing after committing move, small cam in flake may not hold a whipper",,3,300,49.6684,-123.15825
Escape Velocity,Mt. Habrich > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/111849325/escape-velocity,1.7,-1,"Trad, Alpine",5.9-,G,Good pro and decent stances throughout the route,Take 2 big blues for pitch 2,7,450,49.6586,-123.08305
The Goldilocks Zone,Stawamus River Headwall > Mamquam FSR > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/123037144/the-goldilocks-zone,4.0,-1,Trad,5.10-,UNKNOWN,,,15,1200,49.66321,-123.07825
